date,open,high,low,close,volume,amount
2022-06-02,214.42,226.08,213.43,222.21,174478,7640886784.0
2022-06-06,222.32,240.1,222.32,238.42,190378,8745175296.0
2022-06-07,237.98,238.98,229.98,234.54,127595,5850493952.0
2022-06-08,232.87,235.09,216.2,235.09,405414,17870045952.0
2022-06-09,226.77,228.43,218.71,219.18,202557,8867551488.0
2022-06-10,217.3,232.76,217.3,231.76,247663,11049948160.0
2022-06-13,226.21,231.86,223.02,225.67,186216,8285211392.0
2022-06-14,222.99,225.43,217.71,224.99,174811,7624999680.0
2022-06-15,230.65,245.09,227.38,238.24,378619,17488407040.0
2022-06-16,238.43,242.93,232.04,235.26,240202,11103375104.0
2022-06-17,230.82,252.14,230.22,249.57,282939,13595198720.0
2022-06-20,253.89,266.27,253.89,260.94,251143,12753850368.0
2022-06-21,259.54,264.47,255.16,261.68,145666,7338298880.0
2022-06-22,265.09,269.68,261.15,261.21,146632,7542600960.0
2022-06-23,265.65,277.86,263.92,277.86,177139,9275986944.0
2022-06-24,283.98,292.59,273.87,292.59,193012,10593590016.0
2022-06-27,292.87,293.41,282.31,284.54,166240,9200423168.0
2022-06-28,282.32,284.74,271.26,281.76,186433,9996283392.0
2022-06-29,275.64,280.93,271.76,275.39,145830,7781239296.0
2022-06-30,275.38,279.43,272.13,276.21,130761,6974435840.0
2022-07-01,275.64,277.32,267.15,269.89,122928,6449278208.0
2022-07-04,262.88,271.58,262.87,269.54,121932,6343210240.0
2022-07-05,270.93,277.41,264.36,270.58,154594,8098493440.0
2022-07-06,272.38,275.92,265.42,269.54,130814,6860550144.0
2022-07-07,275.01,287.62,274.54,285.09,246014,13437831936.0
2022-07-08,287.87,293.41,276.89,280.09,165770,9078792448.0
2022-07-11,276.34,277.04,266.37,267.59,138070,7190790400.0
2022-07-12,267.87,271.37,257.11,259.37,151302,7699493189.0
2022-07-13,261.93,281.33,258.3,278.98,245645,12933672939.0
2022-07-14,277.04,291.76,274.12,288.43,199556,10980995202.0
2022-07-15,284.82,292.57,275.65,275.65,158628,8689665142.0
2022-07-18,280.65,286.23,274.18,286.02,143711,7799775032.0
2022-07-19,285.41,285.41,270.65,270.99,163087,8687404438.0
2022-07-20,273.97,276.84,270.02,271.76,78359,4141353786.0
2022-07-21,270.09,278.46,267.44,268.98,88071,4636560562.0
2022-07-22,278.27,281.76,271.78,275.09,142817,7665508992.0
2022-07-25,275.09,276.18,267.87,269.4,86489,4524233836.0
2022-07-26,269.42,272.87,265.79,269.54,79693,4162433402.0
2022-07-27,269.26,269.59,263.54,265.76,93355,4814402385.0
2022-07-28,267.59,272.15,264.55,265.98,92675,4813731200.0
2022-07-29,270.62,270.65,259.04,262.09,119125,6111548922.0
2022-08-01,261.69,277.21,259.87,276.72,162992,8555439339.0
2022-08-02,269.69,275.34,268.12,270.58,121430,6378119035.0
2022-08-03,270.65,276.14,256.65,259.54,170256,8730930401.0
2022-08-04,261.21,262.37,254.59,257.82,113651,5688825506.0
2022-08-05,257.32,265.04,254.54,260.46,121831,6150342343.0
2022-08-08,255.09,260.75,251.21,258.15,89647,4476021798.0
2022-08-09,257.87,267.65,255.93,263.74,113079,5783358776.0
2022-08-10,262.93,264.43,257.32,259.53,80491,4052412586.0
2022-08-11,259.62,264.55,253.98,262.87,98007,4937131682.0
2022-08-12,262.98,263.98,256.16,258.43,73838,3710909399.0
2022-08-15,260.03,270.09,258.92,266.26,137575,7097079971.0
2022-08-16,268.37,278.43,267.42,270.54,160974,8515873353.0
2022-08-17,272.58,285.08,270.64,283.43,183507,9888546881.0
2022-08-18,283.43,290.65,280.9,282.21,142800,7867922329.0
2022-08-19,284.54,284.92,273.99,275.09,107696,5767786048.0
2022-08-22,276.21,288.24,272.43,285.94,143054,7811232130.0
2022-08-23,285.08,293.24,282.57,288.92,131562,7304906011.0
2022-08-24,297.89,298.98,269.54,270.65,300684,16294721095.0
2022-08-25,271.21,272.06,260.14,265.09,180175,9216432421.0
2022-08-26,264.54,267.86,258.98,261.08,122170,6216728234.0
2022-08-29,258.98,261.08,255.27,258.43,112610,5635359010.0
2022-08-30,258.43,258.43,249.43,252.59,156161,7672805176.0
2022-08-31,247.14,251.65,243.16,247.87,174502,8386004449.0
2022-09-01,246.21,248.98,238.79,239.28,154766,7331268725.0
2022-09-02,243.36,243.98,236.08,238.57,115609,5408298592.0
2022-09-05,236.21,241.76,234.54,239.74,91100,4237267562.0
2022-09-06,239.54,239.74,226.14,232.43,275246,12407748956.0
2022-09-07,230.37,244.26,229.54,242.83,216777,10095265237.0
2022-09-08,239.73,241.21,228.71,229.26,215526,9838886096.0
2022-09-09,230.98,232.0,227.59,230.77,122468,5523516959.0
2022-09-13,234.54,235.21,227.79,233.38,102029,4632953568.0
2022-09-14,229.54,231.21,217.47,220.82,258938,11348915618.0
2022-09-15,220.82,221.21,207.98,209.73,253836,10651219569.0
2022-09-16,209.71,211.93,206.76,207.32,149632,6192462419.0
2022-09-19,207.11,213.76,206.78,209.36,139644,5802232517.0
2022-09-20,211.76,218.43,210.09,213.43,165690,7024157606.0
2022-09-21,211.21,214.79,209.19,213.04,88099,3695152639.0
2022-09-22,210.26,212.87,205.09,210.09,96421,3992662500.0
2022-09-23,210.63,215.54,207.34,211.39,120185,5009444372.0
2022-09-26,209.01,221.21,209.01,217.68,188352,8081168715.0
2022-09-27,220.59,221.39,214.54,218.15,115619,4948766642.0
2022-09-28,217.12,218.14,209.23,211.45,106974,4464647185.0
2022-09-29,215.58,216.29,210.5,212.68,88948,3723447020.0
2022-09-30,212.83,213.35,202.4,202.62,118140,4808089720.0
2022-10-10,203.23,204.62,197.25,198.16,114654,4534844088.0
2022-10-11,204.35,211.18,203.73,211.18,184441,7582938837.0
2022-10-12,211.01,223.39,209.62,223.14,185147,7894831669.0
2022-10-13,221.01,223.39,218.24,219.9,104434,4521426256.0
2022-10-14,223.23,225.65,218.0,222.63,135653,5900627937.0
2022-10-17,220.46,220.46,213.65,218.43,105373,4492096854.0
2022-10-18,220.47,223.72,217.92,218.53,91019,3937490986.0
2022-10-19,218.8,225.46,218.61,219.53,123330,5381599273.0
2022-10-20,213.39,215.27,204.35,210.46,171202,7066412982.0
2022-10-21,206.57,211.55,206.12,209.35,82599,3412503680.0
2022-10-24,205.8,209.9,201.57,204.36,145327,5885833135.0
2022-10-25,203.79,206.61,197.67,203.07,140391,5599142147.0
2022-10-26,204.9,206.88,201.06,202.71,140724,5666134368.0
2022-10-27,201.01,203.27,196.57,196.73,152817,6026009209.0
2022-10-28,193.96,195.18,182.68,182.96,240712,8960919232.0
2022-10-31,179.9,191.13,178.0,187.06,165546,6168694636.0
2022-11-01,189.07,195.95,184.41,194.46,199165,7598072350.0
2022-11-02,193.79,200.12,191.02,197.4,142670,5554821785.0
2022-11-03,196.57,198.79,191.58,193.3,147175,5672637394.0
2022-11-04,194.23,206.74,193.23,204.57,209711,8386135000.0
2022-11-07,206.57,210.2,204.9,207.96,147781,6063354150.0
2022-11-08,207.96,214.79,204.07,207.57,120809,4982583901.0
2022-11-09,205.46,206.33,199.35,200.49,109411,4370881066.0
2022-11-10,198.23,198.79,193.23,193.96,129242,4995761138.0
2022-11-11,202.68,205.28,198.91,203.5,194820,7814365728.0
2022-11-14,204.4,206.57,194.1,195.0,184817,7242184171.0
2022-11-15,195.55,200.72,189.9,200.0,172740,6711717380.0
2022-11-16,198.24,198.89,192.83,193.27,136037,5261351647.0
2022-11-17,191.91,192.12,185.46,188.3,142172,5314975792.0
